timestamp_iso,route_id,label,origin,dest,price_usd,airline,stops,depart_date,booking_url
2026-08-08T00:05:20+00:00,nrt-zg,Tokyo (ZIPAIR),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-08T00:05:20+00:00,nrt-any,Tokyo (any airline),SFO,NRT,384,?,Unknown,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-08T00:05:20+00:00,sgn,Ho Chi Minh City,SJC,SGN,456,"Delta, Vietnam Airlines",2,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SJC%20to%20SGN%20on%202026-08-19%20one%20way
2026-08-08T00:05:20+00:00,tpe,Taipei,SFO,TPE,419,Delta,2,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20TPE%20on%202026-08-19%20one%20way
2026-08-08T04:37:03+00:00,nrt-zg,Tokyo (ZIPAIR),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-08T04:37:03+00:00,nrt-any,Tokyo (any airline),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-08T04:37:03+00:00,sgn,Ho Chi Minh City,SFO,SGN,453,China Airlines,1,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20SGN%20on%202026-08-19%20one%20way
2026-08-08T04:37:03+00:00,tpe,Taipei,SFO,TPE,415,United,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20TPE%20on%202026-08-19%20one%20way
2026-08-08T07:36:50+00:00,nrt-zg,Tokyo (ZIPAIR),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-08T07:36:50+00:00,nrt-any,Tokyo (any airline),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-08T07:36:50+00:00,sgn,Ho Chi Minh City,SFO,SGN,453,China Airlines,1,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20SGN%20on%202026-08-19%20one%20way
2026-08-08T07:36:50+00:00,tpe,Taipei,SFO,TPE,415,?,Unknown,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20TPE%20on%202026-08-19%20one%20way
2026-08-08T09:58:30+00:00,nrt-zg,Tokyo (ZIPAIR),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-08T09:58:30+00:00,nrt-any,Tokyo (any airline),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-08T09:58:30+00:00,sgn,Ho Chi Minh City,SFO,SGN,453,China Airlines,1,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20SGN%20on%202026-08-19%20one%20way
2026-08-08T09:58:30+00:00,tpe,Taipei,SFO,TPE,415,United,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20TPE%20on%202026-08-19%20one%20way
2026-08-08T11:05:39+00:00,nrt-any,Tokyo (any airline),SFO,NRT,384,?,Unknown,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-08T11:05:39+00:00,sgn,Ho Chi Minh City,SFO,SGN,453,China Airlines,1,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20SGN%20on%202026-08-19%20one%20way
2026-08-08T11:05:39+00:00,tpe,Taipei,SFO,TPE,415,?,Unknown,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20TPE%20on%202026-08-19%20one%20way
2026-08-08T14:05:08+00:00,nrt-any,Tokyo (any airline),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-08T14:05:08+00:00,sgn,Ho Chi Minh City,SJC,SGN,456,"Delta, Vietnam Airlines",2,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SJC%20to%20SGN%20on%202026-08-19%20one%20way
2026-08-08T14:05:08+00:00,tpe,Taipei,SFO,TPE,415,?,Unknown,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20TPE%20on%202026-08-19%20one%20way
2026-08-08T15:59:53+00:00,nrt-zg,Tokyo (ZIPAIR),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-08T15:59:53+00:00,nrt-any,Tokyo (any airline),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-08T15:59:53+00:00,sgn,Ho Chi Minh City,SFO,SGN,453,China Airlines,1,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20SGN%20on%202026-08-19%20one%20way
2026-08-08T15:59:53+00:00,tpe,Taipei,SFO,TPE,415,?,Unknown,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20TPE%20on%202026-08-19%20one%20way
2026-08-08T17:16:44+00:00,nrt-zg,Tokyo (ZIPAIR),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-08T17:16:44+00:00,nrt-any,Tokyo (any airline),SFO,NRT,384,?,Unknown,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-08T17:16:44+00:00,tpe,Taipei,SFO,TPE,415,United,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20TPE%20on%202026-08-19%20one%20way
2026-08-08T19:18:30+00:00,nrt-zg,Tokyo (ZIPAIR),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-08T19:18:30+00:00,nrt-any,Tokyo (any airline),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-08T19:18:30+00:00,tpe,Taipei,SFO,TPE,415,United,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20TPE%20on%202026-08-19%20one%20way
2026-08-08T21:04:13+00:00,nrt-zg,Tokyo (ZIPAIR),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-08T21:04:13+00:00,nrt-any,Tokyo (any airline),SFO,NRT,384,?,Unknown,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-08T21:04:13+00:00,sgn,Ho Chi Minh City,OAK,SGN,644,"Alaska, Cathay Pacific, Vietnam Airlines",2,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20OAK%20to%20SGN%20on%202026-08-19%20one%20way
2026-08-08T21:04:13+00:00,tpe,Taipei,SFO,TPE,415,United,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20TPE%20on%202026-08-19%20one%20way
2026-08-08T23:02:36+00:00,nrt-any,Tokyo (any airline),OAK,NRT,538,"Alaska, JAL",1,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20OAK%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-08T23:02:36+00:00,tpe,Taipei,SFO,TPE,415,United,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20TPE%20on%202026-08-19%20one%20way
2026-08-09T04:42:01+00:00,nrt-any,Tokyo (any airline),SFO,NRT,384,?,Unknown,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-09T04:42:01+00:00,sgn,Ho Chi Minh City,SFO,SGN,453,China Airlines,1,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20SGN%20on%202026-08-19%20one%20way
2026-08-09T04:42:01+00:00,tpe,Taipei,SFO,TPE,415,?,Unknown,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20TPE%20on%202026-08-19%20one%20way
2026-08-09T07:57:28+00:00,nrt-zg,Tokyo (ZIPAIR),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-09T07:57:28+00:00,nrt-any,Tokyo (any airline),SFO,NRT,384,?,Unknown,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-09T07:57:28+00:00,sgn,Ho Chi Minh City,SJC,SGN,456,"Delta, Vietnam Airlines",2,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SJC%20to%20SGN%20on%202026-08-19%20one%20way
2026-08-09T07:57:28+00:00,tpe,Taipei,SFO,TPE,415,United,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20TPE%20on%202026-08-19%20one%20way
2026-08-09T10:03:08+00:00,nrt-any,Tokyo (any airline),SFO,NRT,384,?,Unknown,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-09T10:03:08+00:00,sgn,Ho Chi Minh City,SFO,SGN,453,China Airlines,1,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20SGN%20on%202026-08-19%20one%20way
2026-08-09T10:03:08+00:00,tpe,Taipei,SFO,TPE,415,United,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20TPE%20on%202026-08-19%20one%20way
2026-08-09T11:59:41+00:00,nrt-zg,Tokyo (ZIPAIR),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-09T11:59:41+00:00,nrt-any,Tokyo (any airline),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-09T11:59:41+00:00,sgn,Ho Chi Minh City,SFO,SGN,453,China Airlines,1,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20SGN%20on%202026-08-19%20one%20way
2026-08-09T11:59:41+00:00,tpe,Taipei,SFO,TPE,415,United,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20TPE%20on%202026-08-19%20one%20way
2026-08-09T14:07:16+00:00,nrt-any,Tokyo (any airline),SFO,NRT,384,?,Unknown,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-09T14:07:16+00:00,sgn,Ho Chi Minh City,SJC,SGN,456,"Delta, Vietnam Airlines",2,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SJC%20to%20SGN%20on%202026-08-19%20one%20way
2026-08-09T14:07:16+00:00,tpe,Taipei,SFO,TPE,415,United,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20TPE%20on%202026-08-19%20one%20way
2026-08-09T16:02:46+00:00,nrt-any,Tokyo (any airline),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-09T16:02:46+00:00,sgn,Ho Chi Minh City,SFO,SGN,453,China Airlines,1,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20SGN%20on%202026-08-19%20one%20way
2026-08-09T16:02:46+00:00,tpe,Taipei,SFO,TPE,415,?,Unknown,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20TPE%20on%202026-08-19%20one%20way
2026-08-09T18:03:41+00:00,nrt-zg,Tokyo (ZIPAIR),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-09T18:03:41+00:00,nrt-any,Tokyo (any airline),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-09T18:03:41+00:00,sgn,Ho Chi Minh City,SFO,SGN,453,China Airlines,1,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20SGN%20on%202026-08-19%20one%20way
2026-08-09T18:03:41+00:00,tpe,Taipei,SFO,TPE,415,?,Unknown,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20TPE%20on%202026-08-19%20one%20way
2026-08-09T20:02:25+00:00,nrt-zg,Tokyo (ZIPAIR),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-09T20:02:25+00:00,nrt-any,Tokyo (any airline),SFO,NRT,384,?,Unknown,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-09T20:02:25+00:00,sgn,Ho Chi Minh City,SFO,SGN,453,China Airlines,1,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20SGN%20on%202026-08-19%20one%20way
2026-08-09T20:02:25+00:00,tpe,Taipei,SFO,TPE,415,United,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20TPE%20on%202026-08-19%20one%20way
2026-08-09T22:02:15+00:00,nrt-any,Tokyo (any airline),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-09T22:02:15+00:00,sgn,Ho Chi Minh City,SFO,SGN,453,China Airlines,1,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20SGN%20on%202026-08-19%20one%20way
2026-08-09T22:02:15+00:00,tpe,Taipei,SFO,TPE,415,?,Unknown,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20TPE%20on%202026-08-19%20one%20way
2026-08-10T00:03:03+00:00,nrt-zg,Tokyo (ZIPAIR),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-10T00:03:03+00:00,nrt-any,Tokyo (any airline),SFO,NRT,384,?,Unknown,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-10T00:03:03+00:00,sgn,Ho Chi Minh City,SFO,SGN,453,China Airlines,1,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20SGN%20on%202026-08-19%20one%20way
2026-08-10T00:03:03+00:00,tpe,Taipei,SFO,TPE,415,United,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20TPE%20on%202026-08-19%20one%20way
2026-08-10T05:59:35+00:00,nrt-zg,Tokyo (ZIPAIR),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-10T05:59:35+00:00,nrt-any,Tokyo (any airline),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-10T05:59:35+00:00,sgn,Ho Chi Minh City,SJC,SGN,456,"Delta, Vietnam Airlines",2,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SJC%20to%20SGN%20on%202026-08-19%20one%20way
2026-08-10T05:59:35+00:00,tpe,Taipei,SFO,TPE,415,United,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20TPE%20on%202026-08-19%20one%20way
2026-08-10T10:40:19+00:00,nrt-zg,Tokyo (ZIPAIR),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-10T10:40:19+00:00,nrt-any,Tokyo (any airline),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-10T10:40:19+00:00,sgn,Ho Chi Minh City,SFO,SGN,453,China Airlines,1,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20SGN%20on%202026-08-19%20one%20way
2026-08-10T10:40:19+00:00,tpe,Taipei,SFO,TPE,415,United,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20TPE%20on%202026-08-19%20one%20way
2026-08-10T14:40:38+00:00,nrt-any,Tokyo (any airline),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-10T14:40:38+00:00,sgn,Ho Chi Minh City,SJC,SGN,456,"Delta, Vietnam Airlines",2,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SJC%20to%20SGN%20on%202026-08-19%20one%20way
2026-08-10T14:40:38+00:00,tpe,Taipei,OAK,TPE,400,"Alaska, Asiana Airlines",2,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20OAK%20to%20TPE%20on%202026-08-19%20one%20way
2026-08-10T17:40:14+00:00,nrt-zg,Tokyo (ZIPAIR),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-10T17:40:14+00:00,nrt-any,Tokyo (any airline),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-10T17:40:14+00:00,sgn,Ho Chi Minh City,OAK,SGN,644,"Alaska, Cathay Pacific, Vietnam Airlines",2,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20OAK%20to%20SGN%20on%202026-08-19%20one%20way
2026-08-10T17:40:14+00:00,tpe,Taipei,OAK,TPE,400,?,Unknown,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20OAK%20to%20TPE%20on%202026-08-19%20one%20way
2026-08-10T20:08:47+00:00,nrt-zg,Tokyo (ZIPAIR),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-10T20:08:47+00:00,nrt-any,Tokyo (any airline),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-10T20:08:47+00:00,sgn,Ho Chi Minh City,SFO,SGN,453,China Airlines,1,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20SGN%20on%202026-08-19%20one%20way
2026-08-10T20:08:47+00:00,tpe,Taipei,SFO,TPE,415,United,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20TPE%20on%202026-08-19%20one%20way
2026-08-10T23:05:31+00:00,nrt-zg,Tokyo (ZIPAIR),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-10T23:05:31+00:00,nrt-any,Tokyo (any airline),SFO,NRT,384,?,Unknown,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-10T23:05:31+00:00,sgn,Ho Chi Minh City,SFO,SGN,453,China Airlines,1,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20SGN%20on%202026-08-19%20one%20way
2026-08-10T23:05:31+00:00,tpe,Taipei,SFO,TPE,415,United,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20TPE%20on%202026-08-19%20one%20way
2026-08-11T04:49:41+00:00,nrt-zg,Tokyo (ZIPAIR),SFO,NRT,384,ZIPAIR Tokyo,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-11T04:49:41+00:00,nrt-any,Tokyo (any airline),SFO,NRT,384,?,Unknown,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20NRT%20on%202026-08-19%20one%20way
2026-08-11T04:49:41+00:00,sgn,Ho Chi Minh City,SJC,SGN,456,"Delta, Vietnam Airlines",2,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SJC%20to%20SGN%20on%202026-08-19%20one%20way
2026-08-11T04:49:41+00:00,tpe,Taipei,SFO,TPE,415,United,0,2026-08-19,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20TPE%20on%202026-08-19%20one%20way
